type, set value, measured value
vertical, 2.43, 0.21814814814814815
vertical, 2.43, 0.21814814814814815
vertical, 2.43, 0.21814814814814815
vertical, 2.45, 0.23444444444444443
vertical, 2.47, 0.2507407407407407
vertical, 2.46, 0.2422222222222222
vertical, 2.43, 0.21777777777777776
vertical, 2.48, 0.2574074074074074
vertical, 2.49, 0.26555555555555554
horizontal injector, 2.27, 0.41703703703703704
horizontal injector, 2.28, 0.42518518518518517
horizontal injector, 2.29, 0.4337037037037037
horizontal injector, 2.30, 0.44185185185185183
horizontal injector, 2.31, 0.45037037037037037
horizontal injector, 2.32, 0.45888888888888885
horizontal injector amp001, 2.32, 0.45888888888888885
horizontal injector amp01, 2.32, 0.45925925925925926
horizontal injector amp015, 2.32, 0.45925925925925926
horizontal injector amp02, 2.32, 0.45925925925925926
horizontal injector amp03, 2.32, 0.45925925925925926
horizontal injector amp04, 2.32, 0.45925925925925926
horizontal injector amp05, 2.32, 0.45888888888888885
horizontal injector amp05, 2.32, 0.45888888888888885
horizontal injector amp06, 2.32, 0.45888888888888885
horizontal injector amp09, 2.32, 0.45888888888888885
horizontal injector amp11, 2.32, 0.45888888888888885
horizontal injector amp13, 2.32, 0.45925925925925926
horizontal, 2.27, 0.41666666666666663
horizontal, 2.28, 0.4248148148148148
horizontal, 2.29, 0.4333333333333333
horizontal, 2.30, 0.4414814814814815
horizontal, 2.31, 0.44999999999999996
horizontal, 2.32, 0.45888888888888885
horizontal, 2.32, 0.4585185185185185









