type, set value, measured value, amplitude
horizontal chrom pos, 2.37, 0.48777777777777775, 0.38233937623094283
vertical sx on, 2.45, 0.3118518518518518, 2.6963391354315327
vertical sx on, 2.46, 0.3207407407407407, 0.40460958681512277
vertical sx off, 2.43, 0.29333333333333333, 2.7021890038160965
horizontal sx off, 2.37, 0.47962962962962963, 4.259445683228712
horizontal chrom neg, 2.32, 0.43555555555555553, 4.530066430077767
horizontal chrom neg, 2.36, 0.47518518518518515, 3.559161081725753
horizontal chrom zero, 2.32, 0.4362962962962963, 4.094165707602359
horizontal sx off, 2.32, 0.4322222222222222, 4.542763122758341
vertical sx on, 2.43, 0.29407407407407404, 2.2320729028626056
horizontal chrom pos, 2.35, 0.46703703703703703, 4.4602313759951375
horizontal sx orbit, 2.32, 0.4533333333333333, 1.1895850314466587
vertical sx off, 2.46, 0.32037037037037036, 4.1996370580172275
vertical sx off, 2.45, 0.3111111111111111, 4.022926661026771
vertical sx on, 2.43, 0.29407407407407404, 1.8685784805094945
vertical sx on, 2.48, 0.3396296296296296, 0.32399910429856166
vertical sx on, 2.46, 0.32111111111111107, 1.1306676016913149
vertical sx on, 2.44, 0.30296296296296293, 2.2708136466109363
vertical sx on, 2.47, 0.33037037037037037, 0.6286415195044817
horizontal chrom zero, 2.32, 0.4362962962962963, 4.447814056006285
horizontal sx off, 2.35, 0.4603703703703704, 3.0479583265208428
horizontal chrom pos, 2.37, 0.4892592592592592, 0.580242012055498
vertical sx on, 2.42, 0.2848148148148148, 1.1726197808746255
horizontal sx orbit, 2.32, 0.4322222222222222, 2.617434656445983
horizontal sx orbit, 2.32, 0.4307407407407407, 2.2964295171023523
horizontal sx orbit, 2.32, 0.4433333333333333, 5.106800593096248
horizontal sx off, 2.33, 0.4414814814814815, 3.9992173192361866
vertical sx on, 2.44, 0.30296296296296293, 3.468411310663881
vertical sx on, 2.49, 0.35, 0.3141803819314398
horizontal chrom pos, 2.33, 0.447037037037037, 3.2824512796287917
vertical sx off, 2.44, 0.3022222222222222, 3.62939772533046
vertical sx off, 2.47, 0.3285185185185185, 4.19669048711775
horizontal chrom neg, 2.35, 0.4648148148148148, 4.757772900473256
vertical sx on, 2.49, 0.3496296296296296, 0.4857088070429676
vertical sx on, 2.44, 0.30333333333333334, 2.9587517344074987
horizontal chrom neg, 2.34, 0.4548148148148148, 4.824819074073904
horizontal sx off, 2.37, 0.47962962962962963, 3.7408171266905903
horizontal sx orbit, 2.32, 0.4477777777777778, 3.2894392282156137
vertical sx on, 2.43, 0.29444444444444445, 1.8205167263342112
vertical sx on, 2.48, 0.3403703703703704, 0.27881588183475164
vertical sx off, 2.47, 0.3296296296296296, 4.139637077897729
vertical sx on, 2.43, 0.29444444444444445, 2.691704076802336
horizontal chrom pos, 2.34, 0.45666666666666667, 5.043362686339783
horizontal chrom pos, 2.37, 0.4892592592592592, 0.38544144372106015
horizontal sx orbit, 2.32, 0.4322222222222222, 1.844834915623118
horizontal chrom neg, 2.33, 0.4451851851851852, 5.060696305577662
vertical sx on, 2.43, 0.29407407407407404, 2.9459495090840693
horizontal chrom pos, 2.32, 0.437037037037037, 4.38368764379618
horizontal sx off, 2.34, 0.4507407407407407, 3.673758562112303
vertical sx on, 2.43, 0.29518518518518516, 1.3945681540136152
